errate,giusta,domanda
"['Information.', 'Utility.', 'Warranty.']",['Costs.'],"A service is a means of enabling value co-creation by facilitating outcomes that customers want to achieve, without the customer having to manage specific [?] and risks."
"['The Service Desk should rely on self-service portals instead of escalation to support teams.', 'The Service Desk should remain isolated from technical support teams.', 'The Service Desk should escalate all technical issues to support and development teams.']",['The Service Desk should work in close collaboration with support and development teams.'],Which statement about Service Desks is CORRECT?
"[""The 'improve' value chain activity."", 'The Continual Improvement register.', ""The 'engage' value chain activity.""]",['The Continual Improvement model.'],Which describes a set of defined steps for implementing improvements?
"['Incident Management.', 'Change Control.', 'Service Request Management.']",['Service Desk.'],Which practice provides a single point of contact for users?
"['Change Control.', 'Problem Management.', 'Service catalogue management.']",['Service Desk.'],Which activity captures the demand for Incident Resolution and service requests?
"['Operational and technical management.', 'IT Asset Management and technical management.', 'Operational management and IT Asset Management.']",['IT Asset Management and software asset management.'],What are the types of asset management?
"['The incident priority.', 'A change schedule.', 'A self-help tool.']",['The incident category.'],What is typically needed to assign complex incidents to support groups?
"['An Emergency Change.', 'A normal change.', 'An application change.']",['A standard change.'],What type of change is MOST likely to be managed by the Service Request Management practice?
"['Identifying the cause of incidents and recommending related improvements.', 'Authorizing changes to implement improvements.', 'Logging and managing incidents that result in improvement opportunities.']",['Making business cases for improvement action.'],Which activity is part of the Continual Improvement practice?
"['The testing of emergency can be eliminated in order to implement the change quickly.', 'Emergency Changes should be authorized and implemented as service requests.', 'Emergency Changes must be fully documented before Authorization and implementation.']",['The assessment and Authorization of Emergency Changes is expedited to ensure they can be implemented quickly.'],Which statement about Emergency Changes is CORRECT?
"['Try to create a solution for every exception.', 'Start with a complex solution, then simplify.', 'Ignore the conflicting objectives of different stakeholders.']",['Understand how each element contributes to value creation.'],Which is a key consideration for the guiding principle 'keep it simple and practical'?
"['Details of how services are measured.', 'A recent maturity assessment.', 'An up-to-date balanced scorecard.']",['Accurate and carefully analysed data.'],What should all Continual Improvement decisions be based on?
"['To ensure that accurate and reliable information about the configuration of services is available when and where it is needed.', 'To protect the information needed by the organization to conduct its business.', 'To minimize the negative impact of incidents by restoring normal service operation as quickly as possible.']","['To systematically observe services and service components, and record and report selected changes of state.']",Which is the purpose of the Monitoring and Event Management practice?
"['Each iteration should be designed before starting the initiative and implemented without feedback.', 'Feedback should only be taken into account when one iteration fails to meet its objective.', 'Feedback should be reduced for large improvements as it is unlikely that circumstances will change.']",['Each iteration should be continually re-evaluated based on feedback.'],Which is the CORRECT approach for managing a large improvement initiative as smaller iterations?
